Species ,Pounds ,Value ,County
"Sardine, Pacific ","165,184",17643.00,San Diego
"Crab, box ","1,547",5920.00,San Diego
"Anchovy, northern ","24,596",5640.00,San Diego
"Thornyhead, longspine ","3,402",5104.00,San Diego
"Bass, giant sea ","1,155",3465.00,San Diego
"Seabass, white ",639,2610.00,San Diego
Grenadier ,"4,917",2299.00,San Diego
"Crab, spider ","1,295",2111.00,San Diego
Yellowtail ,475,1649.00,San Diego
Swordfish ,320,1600.00,San Diego
Flyingfish ,"1,281",1281.00,San Diego
"Crab, brown rock ",586,976.00,San Diego
"Tuna, yellowfin ",344,905.00,San Diego
"Shark, thresher ",819,883.00,San Diego
"Shark, shortfin mako ",422,534.00,San Diego
"Crab, shore ",97,340.00,San Diego
"Crab, rock unspecified ",198,334.00,San Diego
"Crab, red rock ",256,330.00,San Diego
"Bonito, Pacific ",127,286.00,San Diego
"Crab, king ",62,150.00,San Diego
"Rockfish, blackgill ",79,123.00,San Diego
"Rockfish, group shelf ",38,114.00,San Diego
"Whitefish, ocean ",53,53.00,San Diego
"Rockfish, vermilion ",6,40.00,San Diego
Lingcod ,9,32.00,San Diego
"Rockfish, aurora ",17,25.00,San Diego
"Sanddab, Pacific ",11,22.00,San Diego
Sanddab ,2,2.00,San Diego
"Rockfish, starry ",3,1.00,San Diego
"Octopus, unspecified ",112,0.00,San Diego
"Sea urchin, red ","207,029",493663.00,San Diego
"Tuna, bigeye ","141,861",396026.00,San Diego
Swordfish ,"41,152",172604.00,San Diego
"Tuna, yellowfin ","36,184",101429.00,San Diego
Opah ,"64,529",60647.00,San Diego
"Tuna, bluefin ","7,662",33667.00,San Diego
Wahoo ,"6,789",13722.00,San Diego
"Sea cucumber, warty ","3,052",12117.00,San Diego
"Lobster, California spiny ",946,11190.00,San Diego
"Shark, thresher ","9,238",10389.00,San Diego
Pomfret ,"3,974",7947.00,San Diego
"Halibut, California ",790,6649.00,San Diego
Dolphin (fish) ,"2,921",5842.00,San Diego
Escolar ,"2,810",2684.00,San Diego
"Shark, Pacific angel ","1,078",2066.00,San Diego
"Sea urchin, purple ",623,2036.00,San Diego
"Bass, giant sea ",175,1625.00,San Diego
Yellowtail ,385,1240.00,San Diego
"Skate, unspecified ",745,780.00,San Diego
"Shark, leopard ",345,690.00,San Diego
